Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.000389019;2.15941e-07
2.500000;1.1514e-05;0.00037559;2.08275e-07
2.500000;1.32571e-05;0.000362795;2.01032e-07
2.500000;1.52642e-05;0.000350706;1.9426e-07
2.500000;1.75751e-05;0.000339254;1.88968e-07
2.500000;2.02359e-05;0.000327287;1.82452e-07
2.500000;2.32995e-05;0.000316373;1.76247e-07
2.500000;2.6827e-05;0.000306071;1.71242e-07
2.500000;3.08884e-05;0.000295228;1.65361e-07
2.500000;3.55648e-05;0.000285104;1.59938e-07
2.500000;4.09492e-05;0.000275798;1.55346e-07
2.500000;4.71487e-05;0.000265998;1.49762e-07
2.500000;5.42868e-05;0.000256515;1.44349e-07
2.500000;6.25055e-05;0.0002477;1.39521e-07
2.500000;7.19686e-05;0.000239356;1.35327e-07
2.500000;8.28643e-05;0.000230589;1.30511e-07
2.500000;9.54095e-05;0.000222581;1.25933e-07
2.500000;0.000109854;0.000215051;1.21849e-07
2.500000;0.000126486;0.000207143;1.17338e-07
2.500000;0.000145635;0.000199649;1.12901e-07
2.500000;0.000167683;0.000192531;1.08915e-07
2.500000;0.00019307;0.000185801;1.05288e-07
2.500000;0.0002223;0.000178818;1.01401e-07
2.500000;0.000255955;0.000172447;9.79123e-08
2.500000;0.000294705;0.000166411;9.46715e-08
2.500000;0.000339322;0.000160056;9.10773e-08
2.500000;0.000390694;0.000154176;8.76844e-08
2.500000;0.000449843;0.000148771;8.48394e-08
2.500000;0.000517947;0.000143075;8.16911e-08
2.500000;0.000596362;0.000137614;7.84518e-08
2.500000;0.000686649;0.000132493;7.60482e-08
2.500000;0.000790604;0.000127652;7.31424e-08
2.500000;0.000910298;0.000122539;7.02318e-08
2.500000;0.00104811;0.000117911;6.75455e-08
2.500000;0.00120679;0.000113595;6.52826e-08
2.500000;0.0013895;0.000109016;6.26306e-08
2.500000;0.00159986;0.000104704;6.01685e-08
2.500000;0.00184207;0.000100597;5.78978e-08
2.500000;0.00212095;9.67321e-05;5.57034e-08
2.500000;0.00244205;9.27324e-05;5.33195e-08
2.500000;0.00281177;8.90552e-05;5.12041e-08
2.500000;0.00323746;8.5603e-05;4.92278e-08
2.500000;0.00372759;8.19489e-05;4.70425e-08
2.500000;0.00429193;7.85989e-05;4.50317e-08
2.500000;0.00494171;7.54991e-05;4.34873e-08
2.500000;0.00568987;7.22431e-05;4.13732e-08
2.500000;0.00655129;6.91209e-05;3.94612e-08
2.500000;0.00754312;6.61976e-05;3.76769e-08
2.500000;0.00868511;6.34493e-05;3.62347e-08
2.500000;0.01;6.05451e-05;3.45234e-08
