Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00131099;8.91882e-07
2.500000;1.1514e-05;0.00127096;8.65395e-07
2.500000;1.32571e-05;0.00123254;8.40127e-07
2.500000;1.52642e-05;0.00119618;8.16613e-07
2.500000;1.75751e-05;0.00116135;7.94795e-07
2.500000;2.02359e-05;0.00112507;7.70039e-07
2.500000;2.32995e-05;0.00109225;7.4951e-07
2.500000;2.6827e-05;0.00106063;7.26139e-07
2.500000;3.08884e-05;0.00102755;7.03673e-07
2.500000;3.55648e-05;0.000996646;6.82458e-07
2.500000;4.09492e-05;0.000967906;6.63743e-07
2.500000;4.71487e-05;0.000938061;6.42872e-07
2.500000;5.42868e-05;0.000909023;6.23463e-07
2.500000;6.25055e-05;0.000881889;6.04316e-07
2.500000;7.19686e-05;0.000855871;5.8752e-07
2.500000;8.28643e-05;0.000828855;5.67573e-07
2.500000;9.54095e-05;0.000804239;5.50461e-07
2.500000;0.000109854;0.000780584;5.35776e-07
2.500000;0.000126486;0.000756134;5.1764e-07
2.500000;0.000145635;0.000732807;5.01614e-07
2.500000;0.000167683;0.000710567;4.86499e-07
2.500000;0.00019307;0.000689247;4.72995e-07
2.500000;0.0002223;0.000667288;4.57503e-07
2.500000;0.000255955;0.000647169;4.43914e-07
2.500000;0.000294705;0.000627798;4.32326e-07
2.500000;0.000339322;0.000607705;4.18418e-07
2.500000;0.000390694;0.000588991;4.0512e-07
2.500000;0.000449843;0.000571577;3.95355e-07
2.500000;0.000517947;0.000553349;3.833e-07
2.500000;0.000596362;0.000535866;3.71892e-07
2.500000;0.000686649;0.000519379;3.60642e-07
2.500000;0.000790604;0.000503622;3.5093e-07
2.500000;0.000910298;0.000487201;3.40855e-07
2.500000;0.00104811;0.000472164;3.30581e-07
2.500000;0.00120679;0.000457811;3.21371e-07
2.500000;0.0013895;0.000442816;3.10176e-07
2.500000;0.00159986;0.000428712;3.00461e-07
2.500000;0.00184207;0.000415184;2.90619e-07
2.500000;0.00212095;0.000402272;2.81798e-07
2.500000;0.00244205;0.00038896;2.72671e-07
2.500000;0.00281177;0.000376751;2.63631e-07
2.500000;0.00323746;0.000365089;2.5619e-07
2.500000;0.00372759;0.000352886;2.47343e-07
2.500000;0.00429193;0.000341608;2.40053e-07
2.500000;0.00494171;0.00033103;2.327e-07
2.500000;0.00568987;0.000319998;2.25619e-07
2.500000;0.00655129;0.00030946;2.18179e-07
2.500000;0.00754312;0.000299521;2.11049e-07
2.500000;0.00868511;0.000289997;2.04905e-07
2.500000;0.01;0.000280113;1.98566e-07
