Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00894193;4.23993e-06
2.500000;1.1514e-05;0.00862521;4.09407e-06
2.500000;1.32571e-05;0.0083233;3.94522e-06
2.500000;1.52642e-05;0.00803757;3.79848e-06
2.500000;1.75751e-05;0.00776808;3.69806e-06
2.500000;2.02359e-05;0.00748643;3.57136e-06
2.500000;2.32995e-05;0.00723027;3.45365e-06
2.500000;2.6827e-05;0.00698766;3.35653e-06
2.500000;3.08884e-05;0.00673256;3.23827e-06
2.500000;3.55648e-05;0.00649454;3.11757e-06
2.500000;4.09492e-05;0.00627715;3.0349e-06
2.500000;4.71487e-05;0.00604736;2.91782e-06
2.500000;5.42868e-05;0.00582586;2.80842e-06
2.500000;6.25055e-05;0.00561999;2.70807e-06
2.500000;7.19686e-05;0.00542446;2.62743e-06
2.500000;8.28643e-05;0.00521964;2.52134e-06
2.500000;9.54095e-05;0.00503256;2.43127e-06
2.500000;0.000109854;0.00485779;2.36025e-06
2.500000;0.000126486;0.00467384;2.27524e-06
2.500000;0.000145635;0.0044991;2.18675e-06
2.500000;0.000167683;0.00433378;2.107e-06
2.500000;0.00019307;0.0041779;2.04304e-06
2.500000;0.0002223;0.0040163;1.96633e-06
2.500000;0.000255955;0.00386823;1.89437e-06
2.500000;0.000294705;0.00372864;1.83687e-06
2.500000;0.000339322;0.00358171;1.76094e-06
2.500000;0.000390694;0.00344554;1.6884e-06
2.500000;0.000449843;0.00332072;1.63262e-06
2.500000;0.000517947;0.00318953;1.57142e-06
2.500000;0.000596362;0.00306314;1.51103e-06
2.500000;0.000686649;0.00294492;1.45392e-06
2.500000;0.000790604;0.00283352;1.4034e-06
2.500000;0.000910298;0.00271686;1.34882e-06
2.500000;0.00104811;0.00261079;1.29746e-06
2.500000;0.00120679;0.00251153;1.252e-06
2.500000;0.0013895;0.00240706;1.20172e-06
2.500000;0.00159986;0.00230873;1.15357e-06
2.500000;0.00184207;0.00221504;1.10825e-06
2.500000;0.00212095;0.00212678;1.06644e-06
2.500000;0.00244205;0.00203557;1.01913e-06
2.500000;0.00281177;0.00195197;9.7634e-07
2.500000;0.00323746;0.00187331;9.39891e-07
2.500000;0.00372759;0.00179043;8.9724e-07
2.500000;0.00429193;0.0017143;8.57475e-07
2.500000;0.00494171;0.00164422;8.27576e-07
2.500000;0.00568987;0.00157046;7.82988e-07
2.500000;0.00655129;0.00149992;7.45516e-07
2.500000;0.00754312;0.0014339;7.11423e-07
2.500000;0.00868511;0.0013719;6.84024e-07
2.500000;0.01;0.00130671;6.5195e-07
