Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.0218142;1.36128e-05
2.500000;1.1514e-05;0.0211293;1.32505e-05
2.500000;1.32571e-05;0.020468;1.27905e-05
2.500000;1.52642e-05;0.0198435;1.24705e-05
2.500000;1.75751e-05;0.0192449;1.21048e-05
2.500000;2.02359e-05;0.0186245;1.16918e-05
2.500000;2.32995e-05;0.01806;1.13256e-05
2.500000;2.6827e-05;0.0175166;1.10248e-05
2.500000;3.08884e-05;0.016951;1.06536e-05
2.500000;3.55648e-05;0.0164248;1.03277e-05
2.500000;4.09492e-05;0.0159345;1.00217e-05
2.500000;4.71487e-05;0.015424;9.73548e-06
2.500000;5.42868e-05;0.0149288;9.34721e-06
2.500000;6.25055e-05;0.0144654;9.03047e-06
2.500000;7.19686e-05;0.0140215;8.76988e-06
2.500000;8.28643e-05;0.0135587;8.49381e-06
2.500000;9.54095e-05;0.0131394;8.22798e-06
2.500000;0.000109854;0.0127386;7.99552e-06
2.500000;0.000126486;0.0123227;7.73828e-06
2.500000;0.000145635;0.0119268;7.53903e-06
2.500000;0.000167683;0.0115476;7.25587e-06
2.500000;0.00019307;0.0111869;7.01952e-06
2.500000;0.0002223;0.0108179;6.82518e-06
2.500000;0.000255955;0.0104771;6.71834e-06
2.500000;0.000294705;0.010151;6.49755e-06
2.500000;0.000339322;0.00980957;6.26874e-06
2.500000;0.000390694;0.00949678;6.06072e-06
2.500000;0.000449843;0.00920305;5.89201e-06
2.500000;0.000517947;0.00889597;5.70685e-06
2.500000;0.000596362;0.00860027;5.47946e-06
2.500000;0.000686649;0.00832333;5.2993e-06
2.500000;0.000790604;0.00805883;5.16051e-06
2.500000;0.000910298;0.00778175;4.98346e-06
2.500000;0.00104811;0.00753141;4.8454e-06
2.500000;0.00120679;0.00729261;4.69672e-06
2.500000;0.0013895;0.00704294;4.53452e-06
2.500000;0.00159986;0.00680783;4.38789e-06
2.500000;0.00184207;0.00658394;4.26213e-06
2.500000;0.00212095;0.00636829;4.11988e-06
2.500000;0.00244205;0.00614803;3.98058e-06
2.500000;0.00281177;0.00594603;3.83919e-06
2.500000;0.00323746;0.00575365;3.71949e-06
2.500000;0.00372759;0.00555183;3.5839e-06
2.500000;0.00429193;0.00536542;3.46624e-06
2.500000;0.00494171;0.00519196;3.35828e-06
2.500000;0.00568987;0.00500992;3.24455e-06
2.500000;0.00655129;0.00483553;3.13648e-06
2.500000;0.00754312;0.00467092;3.02697e-06
2.500000;0.00868511;0.00451334;2.93197e-06
2.500000;0.01;0.00434966;2.83829e-06
