2.5 0.00003 0.824 0.1126 14.0 10.9 0.3 17.8
2.5 0.00007 0.353 0.1068 9.0 9.9 0.2 13.4
2.5 0.00013 0.190 0.0889 10.0 9.1 2.2 13.7
2.5 0.00018 0.137 0.0907 9.5 8.3 1.4 12.7
2.5 0.00035 0.071 0.0560 8.7 8.2 0.0 11.9
5. 0.00007 0.706 0.1466 15.6 10.0 0.2 18.5
5 0.00018 0.274 0.1495 8.4 6.8 1.1 10.8
5 0.00035 0.141 0.1151 7.1 6.7 0.6 9.8
5 0.00100 0.049 0.0803 9.2 8.2 0.6 12.4
7 0.00013 0.532 0.2142 8.1 8.0 0.2 11.4
7 0.00018 0.384 0.1909 10.2 8.5 2.1 13.4
7 0.00030 0.231 0.1689 4.6 6.3 0.4 7.8
7 0.00050 0.138 0.1553 4.3 5.9 0.6 7.3
7 0.00080 0.086 0.1156 7.2 6.0 0.7 9.4
7 0.00160 0.043 0.0925 6.4 7.6 0.6 9.9
12 0.00022 0.539 0.2983 8.4 7.2 0.1 11.1
12 0.00032 0.371 0.2852 4.7 6.5 0.6 8.1
12 0.00050 0.237 0.2342 4.3 5.1 0.5 6.6
12 0.00080 0.148 0.1771 3.8 5.7 0.1 6.9
12 0.00150 0.079 0.1413 5.5 6.8 0.1 8.7
12 0.00300 0.040 0.1028 6.1 8.0 0.2 10.1
18 0.00035 0.508 0.3093 9.2 6.5 1.0 11.3
18 0.00050 0.356 0.2766 4.7 7.0 0.5 8.4
18 0.00080 0.222 0.2637 3.8 4.6 0.6 6.1
18 0.00135 0.132 0.2009 3.3 5.2 0.0 6.2
18 0.00250 0.071 0.1576 3.5 5.7 0.1 6.7
18 0.00450 0.040 0.1349 5.8 8.0 1.4 10.0
32 0.00060 0.527 0.4119 15.1 5.7 0.1 16.2
32 0.00080 0.395 0.3527 4.3 5.3 0.3 6.9
32 0.00140 0.226 0.2767 3.9 4.2 0.4 5.8
32 0.00240 0.132 0.2035 4.8 4.9 0.3 6.9
32 0.00320 0.099 0.1942 7.1 5.6 0.3 9.0
32 0.00550 0.058 0.1487 6.9 6.0 0.4 9.1
32 0.00800 0.040 0.1027 10.7 8.3 0.4 13.5
60 0.00140 0.424 0.3218 6.1 5.4 1.4 8.3
60 0.00200 0.296 0.3387 4.3 3.7 0.4 5.7
60 0.00320 0.185 0.2721 4.7 3.9 0.4 6.1
60 0.00500 0.119 0.1975 4.7 4.9 0.3 6.8
60 0.00800 0.074 0.1456 12.0 5.2 0.6 13.1
60 0.01500 0.040 0.1008 10.6 6.4 0.8 12.4
120 0.00200 0.593 0.3450 7.1 5.2 0.6 8.8
120 0.00320 0.371 0.2432 15.9 4.0 2.1 16.5
120 0.00550 0.216 0.2260 5.2 4.5 0.6 6.9
120 0.01000 0.119 0.1590 6.6 5.4 0.8 8.6
120 0.02500 0.047 0.0866 13.7 6.8 1.2 15.3
200 0.00500 0.395 0.2439 8.1 5.7 0.7 9.9
200 0.01300 0.152 0.1659 6.7 4.8 0.4 8.3
350 0.01000 0.346 0.2250 8.8 5.0 4.1 10.9
350 0.02500 0.138 0.1016 11.2 5.8 5.1 13.6
650 0.01300 0.494 0.2004 11.1 7.2 1.1 13.3
650 0.03200 0.201 0.0939 12.4 10.6 0.9 16.4
2000 0.05000 0.395 0.0622 27.7 14.4 1.7 31.2
