Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;5.39155e-08;1.13061e-12
1;1.0975e-05;5.25591e-08;1.158e-12
1;1.2045e-05;5.12276e-08;1.1232e-12
1;1.32194e-05;4.99218e-08;1.1063e-12
1;1.45083e-05;4.86411e-08;1.09964e-12
1;1.59228e-05;4.73858e-08;1.09535e-12
1;1.74753e-05;4.61547e-08;1.13072e-12
1;1.91791e-05;4.49488e-08;1.0891e-12
1;2.1049e-05;4.37673e-08;1.01179e-12
1;2.31013e-05;4.26103e-08;9.85962e-13
1;2.53536e-05;4.14773e-08;9.63592e-13
1;2.78256e-05;4.03682e-08;9.42392e-13
1;3.05386e-05;3.92828e-08;9.16136e-13
1;3.3516e-05;3.82208e-08;8.79207e-13
1;3.67838e-05;3.71821e-08;8.67037e-13
1;4.03702e-05;3.61664e-08;8.60269e-13
1;4.43062e-05;3.51734e-08;7.77319e-13
1;4.8626e-05;3.42028e-08;7.88584e-13
1;5.3367e-05;3.32546e-08;7.43508e-13
1;5.85702e-05;3.23281e-08;7.20423e-13
1;6.42807e-05;3.14231e-08;7.10506e-13
1;7.0548e-05;3.05395e-08;6.99345e-13
1;7.74264e-05;2.9677e-08;6.46551e-13
1;8.49753e-05;2.8835e-08;6.26091e-13
1;9.32603e-05;2.80135e-08;6.18737e-13
1;0.000102353;2.72121e-08;5.64499e-13
1;0.000112332;2.64303e-08;5.36429e-13
1;0.000123285;2.56679e-08;5.2166e-13
1;0.000135305;2.49246e-08;5.20533e-13
1;0.000148497;2.42e-08;5.33601e-13
1;0.000162975;2.34938e-08;5.30799e-13
1;0.000178865;2.28058e-08;5.13127e-13
1;0.000196304;2.21356e-08;4.63198e-13
1;0.000215443;2.14827e-08;4.63069e-13
1;0.000236449;2.08469e-08;4.40669e-13
1;0.000259502;2.02278e-08;4.46943e-13
1;0.000284804;1.96254e-08;4.36382e-13
1;0.000312572;1.90389e-08;3.90346e-13
1;0.000343047;1.84682e-08;3.71786e-13
1;0.000376494;1.79129e-08;3.87609e-13
1;0.000413201;1.73726e-08;3.78144e-13
1;0.000453488;1.68472e-08;3.57514e-13
1;0.000497702;1.63363e-08;3.51501e-13
1;0.000546228;1.58395e-08;3.27875e-13
1;0.000599484;1.53565e-08;3.10619e-13
1;0.000657933;1.48871e-08;3.05508e-13
1;0.000722081;1.44307e-08;3.03086e-13
