Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;1.44663e-06;2.30142e-11
1;1.0975e-05;1.4087e-06;2.16921e-11
1;1.2045e-05;1.37155e-06;2.17943e-11
1;1.32194e-05;1.33519e-06;2.15699e-11
1;1.45083e-05;1.29961e-06;2.12217e-11
1;1.59228e-05;1.2648e-06;2.06954e-11
1;1.74753e-05;1.23074e-06;2.01482e-11
1;1.91791e-05;1.19743e-06;1.95764e-11
1;2.1049e-05;1.16487e-06;1.89423e-11
1;2.31013e-05;1.13303e-06;1.81553e-11
1;2.53536e-05;1.10192e-06;1.70893e-11
1;2.78256e-05;1.07151e-06;1.69404e-11
1;3.05386e-05;1.04181e-06;1.64929e-11
1;3.3516e-05;1.0128e-06;1.63552e-11
1;3.67838e-05;9.84478e-07;1.59609e-11
1;4.03702e-05;9.56821e-07;1.48935e-11
1;4.43062e-05;9.29827e-07;1.42971e-11
1;4.8626e-05;9.03487e-07;1.4332e-11
1;5.3367e-05;8.77783e-07;1.38207e-11
1;5.85702e-05;8.52711e-07;1.24025e-11
1;6.42807e-05;8.28259e-07;1.19728e-11
1;7.0548e-05;8.04414e-07;1.16589e-11
1;7.74264e-05;7.81166e-07;1.18561e-11
1;8.49753e-05;7.5851e-07;1.27783e-11
1;9.32603e-05;7.36428e-07;1.19743e-11
1;0.000102353;7.1491e-07;1.15305e-11
1;0.000112332;6.93951e-07;1.09885e-11
1;0.000123285;6.73534e-07;1.05257e-11
1;0.000135305;6.53654e-07;1.00383e-11
1;0.000148497;6.34296e-07;9.50266e-12
1;0.000162975;6.15452e-07;9.34408e-12
1;0.000178865;5.97111e-07;8.46041e-12
1;0.000196304;5.79261e-07;8.16878e-12
1;0.000215443;5.61893e-07;8.07801e-12
1;0.000236449;5.44994e-07;8.67373e-12
1;0.000259502;5.2856e-07;8.24891e-12
1;0.000284804;5.12576e-07;7.87425e-12
1;0.000312572;4.9703e-07;7.78236e-12
