Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;0.000411529;6.9019e-08
1;2.78256e-05;0.000254964;4.08353e-08
1;7.74264e-05;0.00015102;4.70832e-08
1;0.000215443;8.57186e-05;1.37872e-08
1;0.000599484;4.68723e-05;7.79481e-09
1;0.0016681;2.48144e-05;4.10949e-09
1;0.00464159;1.2789e-05;2.58792e-09
1;0.0129155;6.44975e-06;1.25534e-09
1;0.0359381;3.19898e-06;7.32978e-10
1;0.1;1.56792e-06;1.02377e-09
3;1e-05;0.000322458;6.19246e-08
3;2.78256e-05;0.00019518;6.05332e-08
3;7.74264e-05;0.000113032;3.73971e-08
3;0.000215443;6.29709e-05;1.00417e-08
3;0.000599484;3.38565e-05;5.40119e-09
3;0.0016681;1.76712e-05;2.86803e-09
3;0.00464159;9.0051e-06;4.23411e-09
3;0.0129155;4.50053e-06;8.37412e-10
3;0.0359381;2.21742e-06;3.58236e-10
3;0.1;1.08138e-06;5.40329e-10
5;1e-05;0.00026172;1.35445e-07
5;2.78256e-05;0.000155491;3.88231e-08
5;7.74264e-05;8.853e-05;7.03329e-08
5;0.000215443;4.85993e-05;1.56236e-08
5;0.000599484;2.5814e-05;4.20668e-09
5;0.0016681;1.33374e-05;2.35732e-09
5;0.00464159;6.74267e-06;1.54184e-09
5;0.0129155;3.34978e-06;6.58928e-10
5;0.0359381;1.6425e-06;2.995e-10
5;0.1;7.97999e-07;1.62838e-10
8;1e-05;0.000200167;6.12944e-08
8;2.78256e-05;0.000116432;2.40262e-08
8;7.74264e-05;6.51144e-05;1.30969e-08
8;0.000215443;3.5175e-05;1.70165e-08
8;0.000599484;1.84116e-05;4.83774e-09
8;0.0016681;9.41196e-06;2.09565e-09
8;0.00464159;4.71635e-06;7.96568e-10
8;0.0129155;2.32802e-06;4.01209e-10
8;0.0359381;1.13627e-06;1.95986e-10
8;0.1;5.5022e-07;1.46436e-10
10;1e-05;0.000171255;5.19477e-08
10;2.78256e-05;9.85212e-05;1.79505e-08
10;7.74264e-05;5.45371e-05;8.85845e-09
10;0.000215443;2.91997e-05;5.08461e-09
10;0.000599484;1.51906e-05;2.67003e-09
10;0.0016681;7.72122e-06;2.23851e-09
10;0.00464159;3.85443e-06;1.01144e-09
10;0.0129155;1.89597e-06;5.36998e-10
10;0.0359381;9.23666e-07;2.69947e-10
10;0.1;4.46186e-07;1.12084e-10
