Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;0.00895428;1.92824e-06
1;2.78256e-05;0.00721545;3.09421e-06
1;7.74264e-05;0.00568194;3.41089e-06
1;0.000215443;0.00436774;1.52269e-06
1;0.000599484;0.00327116;1.33734e-06
1;0.0016681;0.00237852;6.72057e-07
1;0.00464159;0.0016747;4.07352e-07
1;0.0129155;0.00113411;3.83134e-07
1;0.0359381;0.000733475;3.79142e-07
1;0.1;0.000451074;2.17459e-07
3;1e-05;0.00463757;1.46689e-06
3;2.78256e-05;0.00352879;1.45087e-06
3;7.74264e-05;0.00262786;8.91926e-07
3;0.000215443;0.00191559;1.18982e-06
3;0.000599484;0.00136555;1.002e-06
3;0.0016681;0.000949822;2.83721e-07
3;0.00464159;0.000644261;2.45749e-07
3;0.0129155;0.000423313;1.33928e-07
3;0.0359381;0.000267905;1.1083e-07
3;0.1;0.000161861;5.61637e-08
5;1e-05;0.00321419;1.01032e-06
5;2.78256e-05;0.00238413;9.76158e-07
5;7.74264e-05;0.00173465;5.84209e-07
5;0.000215443;0.00123756;5.18842e-07
5;0.000599484;0.00086625;6.31172e-07
5;0.0016681;0.000595018;3.35943e-07
5;0.00464159;0.00039908;1.92372e-07
5;0.0129155;0.000260313;1.95783e-07
5;0.0359381;0.000163628;6.96989e-08
5;0.1;9.8543e-05;4.3443e-08
8;1e-05;0.00222144;1.25996e-06
8;2.78256e-05;0.0016146;6.86716e-07
8;7.74264e-05;0.00115322;4.83023e-07
8;0.000215443;0.000810582;5.51405e-07
8;0.000599484;0.000560479;2.34526e-07
8;0.0016681;0.000381101;1.3819e-07
8;0.00464159;0.000254007;8.72623e-08
8;0.0129155;0.000164814;7.59415e-08
8;0.0359381;0.000103327;7.86873e-08
8;0.1;6.20796e-05;2.60333e-08
10;1e-05;0.00184979;1.32762e-06
10;2.78256e-05;0.00133023;5.1444e-07
10;7.74264e-05;0.000943277;4.45523e-07
10;0.000215443;0.000659008;3.34261e-07
10;0.000599484;0.000453537;1.96466e-07
10;0.0016681;0.000307492;1.32144e-07
10;0.00464159;0.00020442;1.06316e-07
10;0.0129155;0.000132506;4.66426e-08
10;0.0359381;8.29378e-05;3.96585e-08
10;0.1;4.98121e-05;2.27403e-08
