Q2 (GeV);x;sigma (mb)
1;1e-05;0.000289349;
1;1.26896e-05;0.000285702;
1;1.61026e-05;0.000281741;
1;2.04336e-05;0.000277419;
1;2.59294e-05;0.000272757;
1;3.29034e-05;0.000267698;
1;4.17532e-05;0.000262256;
1;5.29832e-05;0.000256426;
1;6.72336e-05;0.000250165;
1;8.53168e-05;0.000243522;
1;0.000108264;0.000236468;
1;0.000137382;0.000229009;
1;0.000174333;0.000221162;
1;0.000221222;0.000212943;
1;0.000280722;0.000204382;
1;0.000356225;0.000195507;
1;0.000452035;0.000186355;
1;0.000573615;0.000176979;
1;0.000727895;0.000167414;
1;0.000923671;0.000157732;
1;0.0011721;0.000147974;
1;0.00148735;0.000138213;
1;0.00188739;0.000128522;
1;0.00239503;0.000118958;
1;0.0030392;0.00010959;
1;0.00385662;0.000100478;
1;0.0048939;9.16814e-05;
1;0.00621017;8.32548e-05;
1;0.00788046;7.5238e-05;
1;0.01;6.76704e-05;
3;1e-05;0.000693893;
3;1.26896e-05;0.000683998;
3;1.61026e-05;0.000673268;
3;2.04336e-05;0.000661649;
3;2.59294e-05;0.000649114;
3;3.29034e-05;0.000635633;
3;4.17532e-05;0.000621168;
3;5.29832e-05;0.000605692;
3;6.72336e-05;0.000589236;
3;8.53168e-05;0.000571834;
3;0.000108264;0.00055341;
3;0.000137382;0.000534084;
3;0.000174333;0.000513838;
3;0.000221222;0.000492801;
3;0.000280722;0.000471012;
3;0.000356225;0.000448569;
3;0.000452035;0.00042559;
3;0.000573615;0.000402224;
3;0.000727895;0.000378557;
3;0.000923671;0.000354784;
3;0.0011721;0.000331041;
3;0.00148735;0.000307476;
3;0.00188739;0.000284292;
3;0.00239503;0.000261614;
3;0.0030392;0.000239587;
3;0.00385662;0.000218372;
3;0.0048939;0.000198076;
3;0.00621017;0.000178802;
3;0.00788046;0.000160649;
3;0.01;0.000143664;
5;1e-05;0.000961082;
5;1.26896e-05;0.000945974;
5;1.61026e-05;0.000929581;
5;2.04336e-05;0.000911975;
5;2.59294e-05;0.000892999;
5;3.29034e-05;0.000872654;
5;4.17532e-05;0.0008509;
5;5.29832e-05;0.000827748;
5;6.72336e-05;0.000803211;
5;8.53168e-05;0.000777328;
5;0.000108264;0.000750109;
5;0.000137382;0.000721697;
5;0.000174333;0.000692093;
5;0.000221222;0.000661464;
5;0.000280722;0.000629914;
5;0.000356225;0.000597618;
5;0.000452035;0.000564763;
5;0.000573615;0.000531527;
5;0.000727895;0.000498135;
5;0.000923671;0.000464792;
5;0.0011721;0.000431712;
5;0.00148735;0.000399133;
5;0.00188739;0.000367302;
5;0.00239503;0.00033638;
5;0.0030392;0.000306588;
5;0.00385662;0.000278083;
5;0.0048939;0.000251035;
5;0.00621017;0.000225545;
5;0.00788046;0.000201714;
5;0.01;0.000179583;
8;1e-05;0.00122227;
8;1.26896e-05;0.00120067;
8;1.61026e-05;0.0011773;
8;2.04336e-05;0.00115223;
8;2.59294e-05;0.00112539;
8;3.29034e-05;0.00109675;
8;4.17532e-05;0.00106624;
8;5.29832e-05;0.00103402;
8;6.72336e-05;0.00100002;
8;8.53168e-05;0.000964321;
8;0.000108264;0.000927025;
8;0.000137382;0.000888312;
8;0.000174333;0.000848291;
8;0.000221222;0.000807127;
8;0.000280722;0.000765073;
8;0.000356225;0.00072234;
8;0.000452035;0.000679129;
8;0.000573615;0.000635846;
8;0.000727895;0.000592642;
8;0.000923671;0.000549905;
8;0.0011721;0.000507853;
8;0.00148735;0.000466835;
8;0.00188739;0.000427079;
8;0.00239503;0.000388848;
8;0.0030392;0.000352336;
8;0.00385662;0.000317752;
8;0.0048939;0.000285207;
8;0.00621017;0.00025481;
8;0.00788046;0.000226645;
8;0.01;0.000200729;
10;1e-05;0.00134101;
10;1.26896e-05;0.00131572;
10;1.61026e-05;0.00128842;
10;2.04336e-05;0.00125923;
10;2.59294e-05;0.00122796;
10;3.29034e-05;0.00119469;
10;4.17532e-05;0.00115947;
10;5.29832e-05;0.00112228;
10;6.72336e-05;0.0010832;
10;8.53168e-05;0.00104235;
10;0.000108264;0.000999799;
10;0.000137382;0.000955781;
10;0.000174333;0.000910403;
10;0.000221222;0.000863985;
10;0.000280722;0.000816695;
10;0.000356225;0.000768855;
10;0.000452035;0.000720788;
10;0.000573615;0.000672766;
10;0.000727895;0.000625128;
10;0.000923671;0.000578201;
10;0.0011721;0.000532279;
10;0.00148735;0.00048769;
10;0.00188739;0.000444699;
10;0.00239503;0.000403553;
10;0.0030392;0.000364491;
10;0.00385662;0.000327653;
10;0.0048939;0.000293164;
10;0.00621017;0.000261142;
10;0.00788046;0.000231596;
10;0.01;0.000204534;
