Q2 (GeV);x;sigma (mb)
1;1e-05;0.0155496
1;1.26896e-05;0.0150355
1;1.61026e-05;0.01452
1;2.04336e-05;0.0140031
1;2.59294e-05;0.0134854
1;3.29034e-05;0.0129669
1;4.17532e-05;0.0124475
1;5.29832e-05;0.0119287
1;6.72336e-05;0.0114098
1;8.53168e-05;0.0108915
1;0.000108264;0.0103748
1;0.000137382;0.0098607
1;0.000174333;0.00934917
1;0.000221222;0.00884175
1;0.000280722;0.00833949
1;0.000356225;0.00784339
1;0.000452035;0.00735481
1;0.000573615;0.00687493
1;0.000727895;0.00640528
1;0.000923671;0.00594737
1;0.0011721;0.00550236
1;0.00148735;0.00507168
1;0.00188739;0.00465704
1;0.00239503;0.00425955
1;0.0030392;0.00388036
1;0.00385662;0.00352062
1;0.0048939;0.00318107
1;0.00621017;0.0028624
1;0.00788046;0.00256505
1;0.01;0.00228925
3;1e-05;0.014548
3;1.26896e-05;0.0140395
3;1.61026e-05;0.0135309
3;2.04336e-05;0.0130218
3;2.59294e-05;0.0125124
3;3.29034e-05;0.0120029
3;4.17532e-05;0.0114946
3;5.29832e-05;0.0109869
3;6.72336e-05;0.010481
3;8.53168e-05;0.00997702
3;0.000108264;0.00947595
3;0.000137382;0.00897873
3;0.000174333;0.00848628
3;0.000221222;0.00799954
3;0.000280722;0.0075193
3;0.000356225;0.00704676
3;0.000452035;0.00658362
3;0.000573615;0.00613095
3;0.000727895;0.00568994
3;0.000923671;0.00526199
3;0.0011721;0.00484853
3;0.00148735;0.00445067
3;0.00188739;0.00406962
3;0.00239503;0.00370658
3;0.0030392;0.00336235
3;0.00385662;0.00303768
3;0.0048939;0.00273313
3;0.00621017;0.0024491
3;0.00788046;0.00218581
3;0.01;0.001943
5;1e-05;0.0137856
5;1.26896e-05;0.0132826
5;1.61026e-05;0.0127794
5;2.04336e-05;0.0122766
5;2.59294e-05;0.0117746
5;3.29034e-05;0.0112732
5;4.17532e-05;0.0107735
5;5.29832e-05;0.0102758
5;6.72336e-05;0.00978065
5;8.53168e-05;0.009289
5;0.000108264;0.00880108
5;0.000137382;0.00831836
5;0.000174333;0.00784129
5;0.000221222;0.00737128
5;0.000280722;0.00690941
5;0.000356225;0.00645649
5;0.000452035;0.00601405
5;0.000573615;0.00558318
5;0.000727895;0.00516528
5;0.000923671;0.00476161
5;0.0011721;0.00437309
5;0.00148735;0.00400089
5;0.00188739;0.00364631
5;0.00239503;0.00330992
5;0.0030392;0.00299264
5;0.00385662;0.00269469
5;0.0048939;0.00241665
5;0.00621017;0.00215865
5;0.00788046;0.00192056
5;0.01;0.00170213
8;1e-05;0.0129099
8;1.26896e-05;0.0124136
8;1.61026e-05;0.0119175
8;2.04336e-05;0.011423
8;2.59294e-05;0.0109301
8;3.29034e-05;0.0104392
8;4.17532e-05;0.00995098
8;5.29832e-05;0.00946613
8;6.72336e-05;0.00898476
8;8.53168e-05;0.00850802
8;0.000108264;0.00803683
8;0.000137382;0.00757224
8;0.000174333;0.0071148
8;0.000221222;0.00666587
8;0.000280722;0.00622631
8;0.000356225;0.00579742
8;0.000452035;0.00538038
8;0.000573615;0.00497627
8;0.000727895;0.00458616
8;0.000923671;0.00421134
8;0.0011721;0.0038524
8;0.00148735;0.00351082
8;0.00188739;0.00318691
8;0.00239503;0.00288151
8;0.0030392;0.00259508
8;0.00385662;0.00232788
8;0.0048939;0.00207983
8;0.00621017;0.00185105
8;0.00788046;0.00164107
8;0.01;0.00144953
10;1e-05;0.0124423
10;1.26896e-05;0.0119498
10;1.61026e-05;0.0114584
10;2.04336e-05;0.0109692
10;2.59294e-05;0.0104815
10;3.29034e-05;0.00999659
10;4.17532e-05;0.00951534
10;5.29832e-05;0.0090375
10;6.72336e-05;0.00856439
10;8.53168e-05;0.00809651
10;0.000108264;0.00763492
10;0.000137382;0.00718053
10;0.000174333;0.00673428
10;0.000221222;0.00629725
10;0.000280722;0.00587046
10;0.000356225;0.00545506
10;0.000452035;0.00505222
10;0.000573615;0.00466291
10;0.000727895;0.00428826
10;0.000923671;0.00392905
10;0.0011721;0.00358664
10;0.00148735;0.00326145
10;0.00188739;0.00295424
10;0.00239503;0.00266545
10;0.0030392;0.00239538
10;0.00385662;0.00214431
10;0.0048939;0.00191208
10;0.00621017;0.00169838
10;0.00788046;0.00150293
10;0.01;0.00132519
