pT;y;cross section (GeV^-2);cross section error (GeV^-2)
0;0;0.000464283;3.8341e-06
0;1.42857;0.000495625;2.82532e-06
0;2.85714;0.00056016;4.47805e-06
0;4.28571;0.000735893;4.39377e-06
0;5.71429;0.00100006;1.20252e-05
0;7.14286;0.00135289;1.03886e-05
0;8.57143;0.00184663;9.44672e-06
1;0;0.000329611;2.03056e-06
1;1.42857;0.000352698;1.94354e-06
1;2.85714;0.000398265;2.22271e-06
1;4.28571;0.000525571;2.84385e-06
1;5.71429;0.0007144;7.7429e-06
1;7.14286;0.000991402;6.95765e-06
1;8.57143;0.00136009;1.38212e-05
10;0;1.23502e-05;2.13341e-06
10;1.42857;1.23502e-05;2.13341e-06
10;2.85714;6.2742e-06;3.40682e-06
10;4.28571;1.89861e-05;4.9415e-06
10;5.71429;2.40053e-05;5.08522e-06
10;7.14286;4.43052e-05;4.91383e-06
10;8.57143;6.1693e-05;5.4867e-06
