pT;y;cross section (GeV^-2);cross section error (GeV^-2)
0;0;0.000461765;2.48601e-06
0;1.42857;0.000488185;3.99426e-06
0;2.85714;0.000533311;2.44264e-06
0;4.28571;0.000670702;8.43968e-06
0;5.71429;0.000838328;4.3047e-06
0;7.14286;0.00103543;7.34251e-06
0;8.57143;0.00127157;7.12484e-06
1;0;0.000329611;2.03056e-06
1;1.42857;0.000345647;2.15428e-06
1;2.85714;0.00038078;2.83725e-06
1;4.28571;0.000482896;1.995e-06
1;5.71429;0.000625039;3.429e-06
1;7.14286;0.000771931;2.54147e-06
1;8.57143;0.000971066;3.73779e-06
10;0;1.23502e-05;2.13341e-06
10;1.42857;1.23502e-05;2.13341e-06
10;2.85714;1.41104e-05;2.58479e-06
10;4.28571;1.85439e-05;1.98774e-06
10;5.71429;3.61086e-05;5.70352e-06
10;7.14286;3.28141e-05;2.72845e-06
10;8.57143;4.48291e-05;4.66697e-06
