pT;y;cross section (GeV^-2);cross section error (GeV^-2)
0;0;0.00489999;0.000600766
0;1.81818;0.0209522;0.00428955
0;3.63636;0.00511873;0.00039999
0;5.45455;0.00424083;0.000392128
0;7.27273;0.00956342;0.00110956
0;9.09091;0.0184179;0.00144872
0;10.9091;0.0307484;0.00358782
0;12.7273;0.0469108;0.00882176
0;14.5455;0.014463;0.00165708
0;16.3636;0.0880342;0.0128099
0;18.1818;0.0337639;0.00266572
1;0;0.00135151;0.00023912
1;1.81818;0.00471131;0.000996881
1;3.63636;0.00368021;0.000733195
1;5.45455;0.00421655;0.00092974
1;7.27273;0.00741442;0.0019558
1;9.09091;0.0033904;0.000575574
1;10.9091;0.00344166;0.00137801
1;12.7273;0.010288;0.00355208
1;14.5455;0.00463898;0.00127655
1;16.3636;0.0166978;0.00233716
1;18.1818;0.0145253;0.00501509
5;0;0.000580202;0.000401904
5;1.81818;0.00031766;0.001294
5;3.63636;0.000530372;0.00030756
5;5.45455;-0.000537566;0.000861183
5;7.27273;-0.000839718;0.00114144
5;9.09091;0.00222148;0.00298322
5;10.9091;0.00152378;0.00184079
5;12.7273;0.00796917;0.00397155
5;14.5455;0.00294667;0.00301262
5;16.3636;2.12386e-05;0.00139845
5;18.1818;-0.00539999;0.00758027
